Raw.file,Condition,BioReplicate,Experiment,IsotopeLabelType
121219_S_CCES_01_01_LysC_Try_1to10_Mixt_1_1,1,1,1_1,L
121219_S_CCES_01_02_LysC_Try_1to10_Mixt_1_2,1,1,1_2,L
121219_S_CCES_01_03_LysC_Try_1to10_Mixt_1_3,1,1,1_3,L
121219_S_CCES_01_04_LysC_Try_1to10_Mixt_2_1,2,2,2_1,L
121219_S_CCES_01_05_LysC_Try_1to10_Mixt_2_2,2,2,2_2,L
121219_S_CCES_01_06_LysC_Try_1to10_Mixt_2_3,2,2,2_3,L
121219_S_CCES_01_07_LysC_Try_1to10_Mixt_3_1,3,3,3_1,L
121219_S_CCES_01_08_LysC_Try_1to10_Mixt_3_2,3,3,3_2,L
121219_S_CCES_01_09_LysC_Try_1to10_Mixt_3_3,3,3,3_3,L
121219_S_CCES_01_10_LysC_Try_1to10_Mixt_4_1,4,4,4_1,L
121219_S_CCES_01_11_LysC_Try_1to10_Mixt_4_2,4,4,4_2,L
121219_S_CCES_01_12_LysC_Try_1to10_Mixt_4_3,4,4,4_3,L
121219_S_CCES_01_13_LysC_Try_1to10_Mixt_5_1,5,5,5_1,L
121219_S_CCES_01_14_LysC_Try_1to10_Mixt_5_2,5,5,5_2,L
121219_S_CCES_01_15_LysC_Try_1to10_Mixt_5_3,5,5,5_3,L
